BEDSCode,recType,name,currentCounts_onSitePositiveStudents,currentCounts_onSitePositiveTeachers,currentCounts_onSitePositiveStaff,StreetAddress,City,State,Zip+4,longitude,latitude
310100011650,Public,CASCADES HIGH SCHOOL,0,0,0,198 FORSYTH ST-3RD FL,NEW YORK,NY,10002,-73.990468,40.722415
310100011696,Public,BARD HIGH SCHOOL EARLY COLLEGE,0,0,0,525 E HOUSTON ST,NEW YORK,NY,10002,-73.976093,40.718276
310100145301,Non-Public,IMMACULATE CONCEPTION SCHOOL,0,0,0,419 E 13TH ST,NEW YORK,NY,10009,-73.9823216,40.7307252
310100145336,Non-Public,LA SALLE ACADEMY,0,0,0,215 E 6TH ST,NEW YORK,NY,10003,-73.9896602,40.7280553
310100147414,Non-Public,SAINT GEORGE ACADEMY,0,0,0,215 E 6TH ST,NEW YORK,NY,10003,-73.9896602,40.7280553
310100149439,Non-Public,CONNELLY CTR EDUCATION/HOLY CHILD MIDDLE SCHOOL,0,0,0,220 E 4TH ST,NEW YORK,NY,100097425,-73.983534,40.723449
310100227822,Non-Public,,,,,142 BROOME ST,NEW YORK,NY,100024002,-73.9841985,40.716537
310100860866,Charter,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,0,0,0,442 E HOUSTON ST-RM 312,NEW YORK,NY,100021122,-73.97738,40.719888
310100860873,Charter,MANHATTAN CHARTER SCHOOL,0,0,0,100 ATTORNEY ST,NEW YORK,NY,100023405,-73.984116,40.718121
310100861031,Charter,MANHATTAN CHARTER SCHOOL II,0,0,0,220 HENRY ST,NEW YORK,NY,10002,-73.986051,40.713362
310100861055,Charter,GREAT OAKS CHARTER SCHOOL,0,0,0,38 DELANCEY ST-3RD FL,NEW YORK,NY,10002,-73.991859,40.719676
310100996176,Non-Public,NORD ANGLIA INTERNATIONAL SCHOOL-NEW YORK,0,0,0,44 E 2ND ST,NEW YORK,NY,10003,-73.9898076,40.724805
310100996205,Non-Public,NEW AMSTERDAM SCHOOL,0,0,0,62 AVE B,NEW YORK,NY,10009,-73.9824979,40.7237954
310100996213,Non-Public,,,,,273 BOWERY,NEW YORK,NY,10002,-73.992395,40.7237496
310100996320,Non-Public,,,,,93 ST MARKS PL,NEW YORK,NY,10009,-73.9847247,40.7276059
310100999967,Non-Public,GEORGE JACKSON ACADEMY,0,0,0,104 ST MARK'S PL,NEW YORK,NY,100095818,-73.9845095,40.7271393
310200010001,Public,PS 1 ALFRED E SMITH,0,0,0,8 HENRY ST,NEW YORK,NY,100381078,-73.997478,40.71255
310200010002,Public,PS 2 MEYER LONDON,0,0,0,122 HENRY ST,NEW YORK,NY,100027199,-73.991523,40.712907
310200010003,Public,PS 3 CHARRETTE SCHOOL,0,0,0,490 HUDSON ST,NEW YORK,NY,100142898,-74.005949,40.732603
310200010006,Public,PS 6 LILLIE D BLAKE,0,0,0,45 E 81ST ST,NEW YORK,NY,100280262,-73.960427,40.777737
310200010011,Public,PS 11 WILLIAM T HARRIS,0,0,0,320 W 21ST ST,NEW YORK,NY,100113399,-74.000743,40.744186
310200010033,Public,PS 33 CHELSEA PREP,0,0,0,281 9TH AVE,NEW YORK,NY,100015799,-74.000238,40.749014
310200010040,Public,PS 40 AUGUSTUS SAINT-GAUDENS,0,0,0,320 E 20TH ST,NEW YORK,NY,100032898,-73.981536,40.735328
