BEDSCode,school_name,address,city,state,zip,longitude,latitude
310100010378,SCHOOL FOR GLOBAL LEADERS,145 STANTON ST,NEW YORK,NY,10002,-73.986038,40.72004
310100010839,TOMPKINS SQUARE MIDDLE SCHOOL,600 E 6TH ST,NEW YORK,NY,10009,-73.981597,40.72313
310100011292,ORCHARD COLLEGIATE ACADEMY,220 HENRY ST,NEW YORK,NY,10002,-73.986051,40.713362
310100011448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,200 MONROE ST,NEW YORK,NY,10002,-73.984128,40.712269
310100011450,EAST SIDE COMMUNITY SCHOOL,420 E 12TH ST,NEW YORK,NY,100094095,-73.982472,40.729152
310100011458,FORSYTHE SATELLITE ACADEMY,198 FORSYTH ST,NEW YORK,NY,10002,-73.990468,40.722415
310100011515,LOWER EAST SIDE PREP HIGH SCHOOL,145 STANTON ST-4TH FL,NEW YORK,NY,100021694,-73.986038,40.72004
310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",111 COLUMBIA ST,NEW YORK,NY,100021940,-73.979581,40.719416
310100011650,CASCADES HIGH SCHOOL,198 FORSYTH ST-3RD FL,NEW YORK,NY,10002,-73.990468,40.722415
310100011696,BARD HIGH SCHOOL EARLY COLLEGE,525 E HOUSTON ST,NEW YORK,NY,10002,-73.976093,40.718276
310100145301,IMMACULATE CONCEPTION SCHOOL,419 E 13TH ST,NEW YORK,NY,10009,-73.9823216,40.7307252
310100145336,LA SALLE ACADEMY,215 E 6TH ST,NEW YORK,NY,10003,-73.9896602,40.7280553
310100147414,ST GEORGE ACADEMY,215 E 6TH ST,NEW YORK,NY,10003,-73.9896602,40.7280553
310100149439,CONNELLY CTR EDUCATION/HOLY CHILD MS,220 E 4TH ST,NEW YORK,NY,100097425,-73.983534,40.723449
310100227822,BETH JACOB ELEMENTARY SCHOOL,142 BROOME ST,NEW YORK,NY,100024002,-73.9841985,40.716537
310100860866,GIRLS PREP CHARTER SCHOOL,442 E HOUSTON ST-RM 312,NEW YORK,NY,100021122,-73.97738,40.719888
310100860873,MANHATTAN CHARTER SCHOOL,100 ATTORNEY ST,NEW YORK,NY,100023405,-73.984116,40.718121
310100861031,MANHATTAN CHARTER SCHOOL II,220 HENRY ST,NEW YORK,NY,10002,-73.986051,40.713362
310100861055,GREAT OAKS CHARTER SCHOOL,38 DELANCEY ST-3RD FL,NEW YORK,NY,10002,-73.991859,40.719676
310100996176,NORD ANGLIA INTERNATIONAL SCHOOL,44 E 2ND ST,NEW YORK,NY,10003,-73.9898076,40.724805
310100996205,NEW AMSTERDAM SCHOOL,62 AVE B,NEW YORK,NY,10009,-73.9824979,40.7237954
310100996213,PATHWAYS CHILDREN'S SERVICES,273 BOWERY,NEW YORK,NY,10002,-73.992395,40.7237496
310100996320,SARA CURRY DAY SCHOOL,93 ST MARKS PL,NEW YORK,NY,10009,-73.9847247,40.7276059
310100999967,GEORGE JACKSON ACADEMY,104 ST MARK'S PL,NEW YORK,NY,100095818,-73.9845095,40.7271393
310200010001,PS 1 ALFRED E SMITH,8 HENRY ST,NEW YORK,NY,100381078,-73.997478,40.71255
310200010002,PS 2 MEYER LONDON,122 HENRY ST,NEW YORK,NY,100027199,-73.991523,40.712907
310200010003,PS 3 CHARRETTE SCHOOL,490 HUDSON ST,NEW YORK,NY,100142898,-74.005949,40.732603
